#期間中のwater_HPの消費電力量の差分:曝気あり，22/21℃
datetime,Type,Value,baseline_time,baseline_value,Difference_time,Difference_EC
2025-08-30 13:00:00,08-28 to 08-31,564.79,2025-08-27T21:00:00Z,544.26,55,20.529999999999973
2025-08-30 14:00:00,08-28 to 08-31,565.31,2025-08-27T21:00:00Z,544.26,56,21.049999999999955
2025-08-30 15:00:00,08-28 to 08-31,565.82,2025-08-27T21:00:00Z,544.26,57,21.56000000000006
2025-08-30 16:00:00,08-28 to 08-31,566.31,2025-08-27T21:00:00Z,544.26,58,22.049999999999955
2025-08-30 17:00:00,08-28 to 08-31,566.78,2025-08-27T21:00:00Z,544.26,59,22.519999999999982
2025-08-30 18:00:00,08-28 to 08-31,567.12,2025-08-27T21:00:00Z,544.26,60,22.860000000000014
2025-08-30 19:00:00,08-28 to 08-31,567.45,2025-08-27T21:00:00Z,544.26,61,23.190000000000055
2025-08-30 20:00:00,08-28 to 08-31,567.77,2025-08-27T21:00:00Z,544.26,62,23.50999999999999
2025-08-30 21:00:00,08-28 to 08-31,568.1,2025-08-27T21:00:00Z,544.26,63,23.840000000000032
2025-08-30 22:00:00,08-28 to 08-31,568.4,2025-08-27T21:00:00Z,544.26,64,24.139999999999986
2025-08-30 23:00:00,08-28 to 08-31,568.7,2025-08-27T21:00:00Z,544.26,65,24.440000000000055
2025-08-31 00:00:00,08-28 to 08-31,568.99,2025-08-27T21:00:00Z,544.26,66,24.730000000000018
2025-08-31 01:00:00,08-28 to 08-31,569.26,2025-08-27T21:00:00Z,544.26,67,25
2025-08-31 02:00:00,08-28 to 08-31,569.53,2025-08-27T21:00:00Z,544.26,68,25.269999999999982
2025-08-31 03:00:00,08-28 to 08-31,569.67,2025-08-27T21:00:00Z,544.26,69,25.409999999999968
2025-08-31 04:00:00,08-28 to 08-31,569.79,2025-08-27T21:00:00Z,544.26,70,25.529999999999973
2025-08-31 05:00:00,08-28 to 08-31,569.98,2025-08-27T21:00:00Z,544.26,71,25.720000000000027
2025-08-31 06:00:00,08-28 to 08-31,570.3,2025-08-27T21:00:00Z,544.26,72,26.039999999999964
