センサー番号	設置場所	測定対象	センサーの種類	メーカー	測定開始日
⑬	温室	気温（強制通気筒内）	サーミスタ	（株）オネスト	2025年8月日
⑭	地下水熱源式HP区N.RECS-st	根域温度	サーミスタ	（株）オネスト	2025年8月日
⑮<br>　	地下水熱源式HP区N.RECS-hs<br>　	根域温度<br>　	Pt100<br>　	（株）立山科学<br>ハイテクノロジーズ 	2025年8月日<br>　
⑯	地下水熱源式HP区N.RECS-ug	根域温度	サーミスタ	（株）オネスト 	2025年8月日
⑰	空気熱源式HP区N.RECS-st	根域温度	サーミスタ	（株）オネスト 	2025年8月日
⑱<br>　	空気熱源式HP区N.RECS-hs<br>　	根域温度<br>　	Pt100<br>　	（株）立山科学<br>ハイテクノロジーズ 	2025年8月日<br>　
⑲	空気熱源式HP区N.RECS-ug	根域温度	サーミスタ	（株）オネスト 	2025年8月日
⑳	地下水熱源式HP	二次側流速	VN10R（パルス）	愛知時計電機（株） 	2025年8月日
㉑	空気熱源式HP	二次側流速	VN10R（パルス）	愛知時計電機（株） 	2025年8月日
